,state,parlimen,ballot_order,name,name_display,age,sex,ethnicity,party,votes,result,result_desc,new_mp,top_party,total_seat_votes,Percentage of votes garnered,Percentage of bumiputera residents,labour_unemployment_rate,poverty_incidence,Result
260,Perak,P.060 Taiping,4,See Tean Seng,CIKGU SEE TEAN SENG,66,male,chinese,PERIKATAN NASIONAL (PN),21569,0,lost,0,PN,84769,25.44444313,50.40495966,4.7,4.9,Lost
263,Perak,P.061 Padang Rengas,1,Azahari Bin Hasan,KAPTEN AZAHARI,48,male,bumiputera,PERIKATAN NASIONAL (PN),12931,1,won,1,PN,29878,43.27933597,82.57628387,5.1,5.9,Won
272,Perak,P.062 Sungai Siput,7,Irudianathan A/L Gabriel,DATO SRI IRUDIANATHAN,56,male,indian,PERIKATAN NASIONAL (PN),8190,0,lost,0,PN,51649,15.85703499,50.170441,5.5,16.7,Lost
276,Perak,P.063 Tambun,4,Ahmad Faizal Bin Azumu,AHMAD FAIZAL AZUMU @ PEJA,52,male,bumiputera,PERIKATAN NASIONAL (PN),45889,0,lost,0,PN,124769,36.7791679,71.17297759,3.8,5.6,Lost
277,Perak,P.064 Ipoh Timor,1,Nor Afzainizam Bin Salleh,NOR AFZAINIZAM BIN SALLEH,47,male,bumiputera,PERIKATAN NASIONAL (PN),13661,0,lost,0,PN,79780,17.12333918,37.38959453,4.8,1.9,Lost
282,Perak,P.065 Ipoh Barat,3,Chek Kwong Weng,CHEK KWONG WENG,46,male,chinese,PERIKATAN NASIONAL (PN),6815,0,lost_deposit,0,PN,78356,8.697483281,25.78442172,4.3,5.6,Lost
286,Perak,P.066 Batu Gajah,3,Woo Cheong Yuen,WOO CHEONG YUEN,49,male,chinese,PERIKATAN NASIONAL (PN),7163,0,lost_deposit,0,PN,74955,9.556400507,25.24920294,5.4,7.3,Lost
287,Perak,P.067 Kuala Kangsar,1,Iskandar Dzulkarnain Bin Abdul Khalid,ISKANDAR DZULKARNAIN,46,male,bumiputera,PERIKATAN NASIONAL (PN),14380,1,won,1,PN,35754,40.21927616,82.16456196,4.9,7.3,Won
292,Perak,P.068 Beruas,2,Ong Kean Sing,IR. ONG KEAN SING,43,male,chinese,PERIKATAN NASIONAL (PN),12739,0,lost,0,PN,72173,17.65064498,33.13218339,5.1,8.9,Lost
294,Perak,P.069 Parit,1,Muhammad Ismi Bin Mat Taib,USTAZ ISMI,48,male,bumiputera,PERIKATAN NASIONAL (PN),17181,1,won,1,PN,37545,45.7610867,95.8972262,6.3,6.2,Won
299,Perak,P.070 Kampar,2,Wong Oi Foon,JANICE WONG,32,female,chinese,PERIKATAN NASIONAL (PN),12127,0,lost,0,PN,59386,20.42063786,44.61742398,4.4,7.6,Lost
302,Perak,P.071 Gopeng,1,Muhammad Farhan Bin Abdul Rahim,MUHAMMAD FARHAN BIN ABDUL RAHIM,34,male,bumiputera,PERIKATAN NASIONAL (PN),28732,0,lost,0,PN,103638,27.72342191,52.70700014,3.9,4.4,Lost
307,Perak,P.072 Tapah,2,Muhammad Yadzan Bin Mohammad,DATUK HAJI MUHAMMAD YADZAN BIN HAJI MOHAMMAD,56,male,bumiputera,PERIKATAN NASIONAL (PN),12115,0,lost,0,PN,44481,27.2363481,71.64035654,4.4,9,Lost
314,Perak,P.073 Pasir Salak,3,Jamaludin Bin Yahya,USTAZ JAMALUDIN BIN YAHYA,51,male,bumiputera,PERIKATAN NASIONAL (PN),24897,1,won,1,PN,57023,43.66132964,86.75206853,5.6,18.9,Won
318,Perak,P.074 Lumut,3,Nordin Bin Ahmad Ismail,KOMANDER (B) NORDIN,57,male,bumiputera,PERIKATAN NASIONAL (PN),25212,1,won,1,PN,71162,35.42902111,81.61438468,5.6,4.7,Won
322,Perak,P.075 Bagan Datuk,2,Muhammad Faiz Bin Na'Aman,DR. FAIZ NA'AMAN,38,male,bumiputera,PERIKATAN NASIONAL (PN),8822,0,lost,0,PN,41856,21.07702599,55.14319533,5.3,6.3,Lost
328,Perak,P.076 Teluk Intan,4,Zainol Fadzi Bin Paharudin,ZAINOL FADZI PAHARUDIN,56,male,bumiputera,PERIKATAN NASIONAL (PN),17964,0,lost,0,PN,64194,27.98392373,49.91991632,5.4,10.3,Lost
333,Perak,P.077 Tanjong Malim,5,Nolee Ashilin Binti Mohammed Radzi,NOLEE RADZI,47,female,bumiputera,PERIKATAN NASIONAL (PN),21599,0,lost,0,PN,69671,31.00142096,74.07671722,4.4,8.3,Lost
336,Pahang,P.078 Cameron Highlands,2,Abdul Rasid Bin Mohamed Ali,DR.ABDUL RASID,57,male,bumiputera,PERIKATAN NASIONAL (PN),5569,0,lost,0,PN,33265,16.74131971,72.18552649,1.5,1.7,Lost
338,Pahang,P.079 Lipis,1,Mohamad Shahrum Bin Osman,DATO' SHAHRUM,69,male,bumiputera,PERIKATAN NASIONAL (PN),11554,0,lost,0,PN,35855,32.22423651,84.28571429,3.6,5.6,Lost
345,Pahang,P.080 Raub,4,Mohd Fakrunizam Bin Ibrahim,DATO FAKRUNIZAM IBRAHIM,41,male,bumiputera,PERIKATAN NASIONAL (PN),17256,0,lost,0,PN,56235,30.68551614,60.99240685,3.8,4.4,Lost
348,Pahang,P.081 Jerantut,3,Khairil Nizam Bin Khirudin,IR. HAJI KHAIRIL,43,male,bumiputera,PERIKATAN NASIONAL (PN),31701,1,won,1,PN,66754,47.48928903,85.63525391,3.2,9.6,Won
350,Pahang,P.082 Indera Mahkota,2,Saifuddin Bin Abdullah,DATO' SRI SAIFUDDIN ABDULLAH,61,male,bumiputera,PERIKATAN NASIONAL (PN),41692,1,won,0,PN,93379,44.6481543,75.77928129,2.6,2,Won
355,Pahang,P.083 Kuantan,3,Wan Razali Bin Wan Nor,WAN RAZALI WAN NOR,41,male,bumiputera,PERIKATAN NASIONAL (PN),25514,1,won,1,PN,67762,37.65237154,82.51948011,2.9,1.1,Won
357,Pahang,P.084 Paya Besar,1,Aireroshairi Bin Roslan,USTAZ AIRE ROSLAN,40,male,bumiputera,PERIKATAN NASIONAL (PN),25582,0,lost,0,PN,61983,41.27260701,91.47376823,3.2,1.2,Lost
365,Pahang,P.085 Pekan,5,Mohd Fadhil Noor Bin Abdul Karim,USTAZ MOHD FADHIL NOOR,43,male,bumiputera,PERIKATAN NASIONAL (PN),38469,0,lost,0,PN,93041,41.3462882,96.28199825,2.7,6.5,Lost
368,Pahang,P.086 Maran,3,Ismail Bin Abd. Muttalib,DATO SRI DR HJ ISMAIL B HJ ABD MUTTALIB,68,male,bumiputera,PERIKATAN NASIONAL (PN),19600,1,won,0,PN,41092,47.69784873,93.54239417,2.6,8.6,Won
371,Pahang,P.087 Kuala Krau,2,Kamal Bin Ashaari,USTAZ HAJI KAMAL BIN ASHAARI,52,male,bumiputera,PERIKATAN NASIONAL (PN),22505,1,won,1,PN,47753,47.12792914,97.00970112,4.2,4.9,Won
375,Pahang,P.088 Temerloh,2,Salamiah Binti Mohd Nor,HJH SALAMIAH MOHD NOR,58,female,bumiputera,PERIKATAN NASIONAL (PN),30929,1,won,1,PN,82637,37.42754456,75.88739201,4.2,6.1,Won
381,Pahang,P.089 Bentong,4,Roslan Bin Hassan,DATUK ROSLAN HASSAN,,male,bumiputera,PERIKATAN NASIONAL (PN),16233,0,lost,0,PN,66657,24.35303119,61.92606417,3.5,3.4,Lost
383,Pahang,P.090 Bera,1,Asmawi Bin Harun,DATO ASMAWI,45,male,bumiputera,PERIKATAN NASIONAL (PN),12719,0,lost,0,PN,59548,21.35923961,67.42908324,3.3,2.8,Lost
388,Pahang,P.091 Rompin,3,Abdul Khalib Bin Abdullah,DATO' KHALIB,63,male,bumiputera,PERIKATAN NASIONAL (PN),31589,1,won,1,PN,66927,47.19918717,96.52679162,3.4,6.7,Won
392,Selangor,P.092 Sabak Bernam,3,Kalam Bin Salan,CIKGU KALAM BIN SALAN,57,male,bumiputera,PERIKATAN NASIONAL (PN),17973,1,won,1,PN,40977,43.86119042,84.21019081,3.5,7.7,Won
396,Selangor,P.093 Sungai Besar,3,Muslimin Bin Yahaya,CIKGU MUSLIMIN YAHAYA,55,male,bumiputera,PERIKATAN NASIONAL (PN),19791,1,won,0,PN,51070,38.75269238,70.15182513,3,2.7,Won
403,Selangor,P.094 Hulu Selangor,6,Mohd Hasnizan Bin Harun,HASNIZAN HARUN,52,male,bumiputera,PERIKATAN NASIONAL (PN),46823,1,won,1,PN,122442,38.24096307,75.25517505,2.6,1.5,Won
406,Selangor,P.095 Tanjong Karang,3,Zulkafperi Bin Hanapi,KAPT (B) DATO DR ZULKAFPERI,63,male,bumiputera,PERIKATAN NASIONAL (PN),18054,1,won,1,PN,51205,35.25827556,78.20704264,2.9,7.2,Won
412,Selangor,P.096 Kuala Selangor,4,Mohd Noor Bin Mohd Shahar,USTAZ MOHD NOOR SHAHAR,46,male,bumiputera,PERIKATAN NASIONAL (PN),23639,0,lost,0,PN,86481,27.33432777,79.77986896,4.2,3.1,Lost
413,Selangor,P.097 Selayang,1,Abdul Rashid Bin Asari,DATUK ABDUL RASHID ASARI,71,male,bumiputera,PERIKATAN NASIONAL (PN),49154,0,lost,0,PN,144881,33.92715401,61.52776345,4,0.6,Lost
418,Selangor,P.098 Gombak,1,Mohamed Azmin Bin Ali,DATO' SERI AZMIN ALI,58,male,bumiputera,PERIKATAN NASIONAL (PN),59538,0,lost,0,PN,165426,35.99071488,79.61826985,3.9,0.3,Lost
429,Selangor,P.099 Ampang,7,Sasha Lyna Binti Abdul Latif,SASHA LYNA,39,female,bumiputera,PERIKATAN NASIONAL (PN),27073,0,lost,0,PN,104430,25.92454276,67.07567562,5.6,1.1,Lost
434,Selangor,P.100 Pandan,3,Muhammad Farique Bin Zubir Albakri,FARIQUE ZUBIR,35,male,bumiputera,PERIKATAN NASIONAL (PN),25706,0,lost,0,PN,115656,22.22625718,51.55721056,5,0.3,Lost
442,Selangor,P.101 Hulu Langat,6,Mohd Radzi Bin Abd Latif,DATO' DR. MOHD RADZI ABD LATIF,68,male,bumiputera,PERIKATAN NASIONAL (PN),43486,0,lost,0,PN,136789,31.79056796,71.71710207,5.5,0.9,Lost
443,Selangor,P.102 Bangi,1,Muhammad Nazrul Hakim Bin Md Nazir,NAZRUL NAZIR,27,male,bumiputera,PERIKATAN NASIONAL (PN),71867,0,lost,0,PN,244291,29.41860322,62.22629615,4.5,0.4,Lost
454,Selangor,P.103 Puchong,4,Chew Jyh Gang,JIMMY CHEW JYH GANG,53,male,chinese,PERIKATAN NASIONAL (PN),18263,0,lost,0,PN,120949,15.09975279,49.380408,4.9,2.1,Lost
455,Selangor,P.104 Subang,1,Ang Hiang Ni,ALEX ANG H N,46,male,chinese,PERIKATAN NASIONAL (PN),23185,0,lost,0,PN,177983,13.02652501,36.79921826,4.9,0.3,Lost
462,Selangor,P.105 Petaling Jaya,5,Theng Book,DATO THENG BOOK,62,male,chinese,PERIKATAN NASIONAL (PN),32736,0,lost,0,PN,145862,22.44313118,52.01477057,5,1.1,Lost
465,Selangor,P.106 Damansara,2,Lim Si Ching,LIM SI CHING,30,male,chinese,PERIKATAN NASIONAL (PN),18256,0,lost_deposit,0,PN,174937,10.43575687,33.70843334,5.1,0.6,Lost
473,Selangor,P.107 Sungai Buloh,7,Mohd Ghazali Bin Md Hamin,HJ MOHD GHAZALI BIN MD HAMIN,59,male,bumiputera,PERIKATAN NASIONAL (PN),29060,0,lost,0,PN,129639,22.41609392,71.15021153,4,1.6,Lost
477,Selangor,P.108 Shah Alam,4,Afif Bin Bahardin,DR. AFIF BAHARDIN,37,male,bumiputera,PERIKATAN NASIONAL (PN),43314,0,lost,0,PN,135770,31.90248214,74.53255964,3.8,0.3,Lost
481,Selangor,P.109 Kapar,4,Halimah Ali,DR HALIMAH ALI,62,female,bumiputera,PERIKATAN NASIONAL (PN),65751,1,won,1,PN,158030,41.60665696,77.93117976,4.4,2.8,Won
485,Selangor,P.110 Klang,1,Jaya Chandran A/L Perumal,DR JAYA,47,male,indian,PERIKATAN NASIONAL (PN),23738,0,lost,0,PN,163905,14.48277966,41.07562617,4.6,1.4,Lost
493,Selangor,P.111 Kota Raja,2,Mohamed Diah Bin Baharun,HAJI MOHAMED DIAH BAHARUN,57,male,bumiputera,PERIKATAN NASIONAL (PN),49308,0,lost,0,PN,197740,24.93577425,50.5234651,3.6,1.7,Lost
