,state,parlimen,ballot_order,name,name_display,age,sex,ethnicity,party,votes,result,result_desc,new_mp,top_party,total_seat_votes,Percentage of votes garnered,Percentage of bumiputera residents,labour_unemployment_rate,poverty_incidence,Result
693,Johor,P.155 Tenggara,3,Mohd Nazari Bin Mokhtar,KOLONEL NAZARI,61.0,male,bumiputera,PERIKATAN NASIONAL (PN),18194,0,lost,0,PN,51350,35.43135345666991,79.58246534,3.2,5.1,Lost
694,Johor,P.155 Tenggara,4,Zuraidah Zainab Binti Mohd Zain,ZURAIDAH CHEDAH,53.0,female,bumiputera,PAKATAN HARAPAN (PH),11618,0,lost,0,PH,51350,22.62512171372931,79.58246534,3.2,5.1,Lost
695,Johor,P.156 Kota Tinggi,1,Mohamed Khaled Bin Nordin,KHALED NORDIN,64.0,male,bumiputera,BARISAN NASIONAL (BN),25410,1,won,0,BN,47333,53.68347664420172,95.77621691,3.5,9.7,Won
696,Johor,P.156 Kota Tinggi,2,Mohamad Ridhwan Bin Rasman,RIDHWAN RASMAN,27.0,male,bumiputera,PERIKATAN NASIONAL (PN),17020,0,lost,0,PN,47333,35.95799970422327,95.77621691,3.5,9.7,Lost
697,Johor,P.156 Kota Tinggi,3,Onn Bin Jaafar,ONN JAAFAR,59.0,male,bumiputera,PAKATAN HARAPAN (PH),4903,0,lost_deposit,0,PH,47333,10.35852365157501,95.77621691,3.5,9.7,Lost
698,Johor,P.157 Pengerang,1,Fairulnizar Bin Rahmat,CIKGU IMAM NIZAR,43.0,male,bumiputera,PERIKATAN NASIONAL (PN),16728,0,lost,0,PN,41840,39.98087954110899,93.16718682,3.9,4.4,Lost
699,Johor,P.157 Pengerang,2,Azalina Binti Othman,AZALINA OTHMAN SAID,58.0,female,bumiputera,BARISAN NASIONAL (BN),21738,1,won,0,BN,41840,51.95506692160612,93.16718682,3.9,4.4,Won
700,Johor,P.157 Pengerang,3,Che Zakaria Bin Mohd Salleh,CHE ZAKARIA BIN MOHD SALLEH,61.0,male,bumiputera,PAKATAN HARAPAN (PH),3374,0,lost_deposit,0,PH,41840,8.064053537284895,93.16718682,3.9,4.4,Lost
701,Johor,P.158 Tebrau,1,Jimmy Puah Wee Tse,JIMMY PUAH WEE TSE,46.0,male,chinese,PAKATAN HARAPAN (PH),83959,1,won,1,PH,167965,49.98600898996815,53.09014122,3.6,3.7,Won
702,Johor,P.158 Tebrau,2,Mohamad Isa Bin Mohamad Basir,MOHAMAD ISA BIN MOHAMAD BASIR,44.0,male,bumiputera,PERIKATAN NASIONAL (PN),53239,0,lost,0,PN,167965,31.696484386628164,53.09014122,3.6,3.7,Lost
703,Johor,P.158 Tebrau,3,Wong Siaw Ting,NICOLE WONG,42.0,female,chinese,BARISAN NASIONAL (BN),30767,0,lost,0,BN,167965,18.317506623403684,53.09014122,3.6,3.7,Lost
