UNIQUECODE,STATE,PARLIAMENTARYCODE,PARLIAMENTARYNAME,TOTALELECTORS,MALAY,CHINESE,INDIANS,ORANGASLI,BUMIPUTERASABAH,BUMIPUTERASARAWAK,OTHERS,ELECTORSNORMALVOTERS,ELECTORSABSENTVOTERS,ELECTORSPOLICE,ELECTORSMILITARY,Q,R,S,T,U,V,W,X,ABOVE90,MALEELECTORS,WOMENELECTORS,URBANRURALCLASSIFICATION2022,parlimen,v1,state,ballot_order,name,name_display,age,sex,ethnicity,party,votes,result,result_desc,new_mp,top_party,_merge
P.149,JOHOR,P.149,Sri Gading,78602,63.69,33.83,1.37,.12,.08,.04,.86,99.86,.02,.05,.07,7.34,24.53,20.88,16.33,14.44,9.92,4.42,1.87,.27,49.51,50.49,Semi Urban,P.149 Sri Gading,148,Johor,1,Aminolhuda Bin Hassan,CIKGU HUDA,63,male,bumiputera,PAKATAN HARAPAN (PH),23242,1,won,1,PH,Matched (3)
P.150,JOHOR,P.150,Batu Pahat,133910,52.03,44.72,1.43,.11,.09,.55,1.05,99.14,.02,.33,.5,5.64,20.34,21.58,16.94,14.98,11.4,6.34,2.34,.45,49.46,50.54,Urban,P.150 Batu Pahat,149,Johor,1,Onn Bin Abu Bakar,ONN BIN ABU BAKAR,59,male,bumiputera,PAKATAN HARAPAN (PH),45242,1,won,1,PH,Matched (3)
P.151,JOHOR,P.151,Simpang Renggam,59033,60.53,28.69,8.630000000000001,.2,.14,.14,1.68,98.78,.01,1.22,0,5.92,21.25,22.25,16.55,14.93,10.98,5.53,2.16,.42,50,50,Rural,P.151 Simpang Renggam,150,Johor,4,Hasni Bin Mohammad,HASNI BIN MOHAMMAD,63,male,bumiputera,BARISAN NASIONAL (BN),18312,1,won,1,BN,Matched (3)
P.152,JOHOR,P.152,Kluang,132342,41.23,46.06,10.43,.39,.64,.1,1.15,95.86,.02,.31,3.8,5.63,21.25,22.21,16.67,14.13,11.68,6.04,1.99,.39,50.16,49.84,Urban,P.152 Kluang,151,Johor,2,Wong Shu Qi,WONG SHU QI,39,female,bumiputera,PAKATAN HARAPAN (PH),49801,1,won,0,PH,Matched (3)
P.153,JOHOR,P.153,Sembrong,54982,60.25,27.81,8.800000000000001,.09,.09,1.67,1.31,99.91,.01,.08,0,4.89,18.72,24.86,17.37,12.92,13.1,6.13,1.67,.35,50.18,49.82,Semi Urban,P.153 Sembrong,152,Johor,1,Hishammuddin Bin Datuk Hussein,HISHAMMUDDIN HUSSEIN,61,male,bumiputera,BARISAN NASIONAL (BN),22572,1,won,0,BN,Matched (3)
P.154,JOHOR,P.154,Mersing,66275,81.18000000000001,13.74,1.18,.54,.5,2.11,.74,97.45999999999999,.01,.45,2.09,5.47,20.77,27.59,16.28,11.36,11.95,5,1.25,.33,50.45,49.55,Rural,P.154 Mersing,153,Johor,3,Muhammad Islahuddin Bin Abas,ISLAHUDDIN ABAS,34,male,bumiputera,PERIKATAN NASIONAL (PN),21066,1,won,1,PN,Matched (3)
P.155,JOHOR,P.155,Tenggara,67294,72.98999999999999,16.36,7.04,.43,1.04,.63,1.51,96.97,.01,.14,2.88,7.48,24.07,23.34,17.82,13.18,8.44,4.19,1.32,.16,49.88,50.12,Semi Urban,P.155 Tenggara,154,Johor,1,Manndzri Bin Nasib,MANNDZRI BIN NASIB,42,male,bumiputera,BARISAN NASIONAL (BN),21185,1,won,1,BN,Matched (3)
P.156,JOHOR,P.156,Kota Tinggi,61291,88.67,7.96,1.78,.14,.2,.13,1.12,99.34999999999999,0,.65,0,5.06,18.28,26.27,19.2,11.9,10.93,6.64,1.44,.28,50.16,49.84,Rural,P.156 Kota Tinggi,155,Johor,1,Mohamed Khaled Bin Nordin,KHALED NORDIN,64,male,bumiputera,BARISAN NASIONAL (BN),25410,1,won,0,BN,Matched (3)
P.157,JOHOR,P.157,Pengerang,55316,89.38,8.06,.75,.34,.35,.4,.73,98.66,0,.31,1.03,5.47,18.05,25.25,22.16,10.93,8.85,7.6,1.33,.36,50.37,49.63,Rural,P.157 Pengerang,156,Johor,2,Azalina Binti Othman,AZALINA OTHMAN SAID,58,female,bumiputera,BARISAN NASIONAL (BN),21738,1,won,0,BN,Matched (3)
P.158,JOHOR,P.158,Tebrau,223301,44.96,38.77,11.44,.53,1.32,.1,2.88,99.87,.01,.12,0,9.67,27.08,20.41,18.27,14,7.14,2.56,.72,.15,50.37,49.63,Urban,P.158 Tebrau,157,Johor,1,Jimmy Puah Wee Tse,JIMMY PUAH WEE TSE,46,male,chinese,PAKATAN HARAPAN (PH),83959,1,won,1,PH,Matched (3)
P.159,JOHOR,P.159,Pasir Gudang,198485,46.13,36.17,10.21,2.29,2.41,.13,2.66,98.95999999999999,.01,.45,.57,7.59,24.52,21.51,17.72,15.8,9.039999999999999,3.01,.7,.11,50.63,49.37,Urban,P.159 Pasir Gudang,158,Johor,2,Hassan Bin Abdul Karim,HASSAN ABDUL KARIM,71,male,bumiputera,PAKATAN HARAPAN (PH),71233,1,won,0,PH,Matched (3)
P.160,JOHOR,P.160,Johor Bahru,136368,51.42,39.23,5.9,.43,.53,.03,2.46,98.52,.02,1.46,0,4.21,15.7,19.77,17.47,16.32,14.77,8.359999999999999,2.71,.68,50.07,49.93,Urban,P.160 Johor Bahru,159,Johor,4,Akmal Nasrullah Bin Mohd Nasir,AKMAL NASIR,36,male,bumiputera,PAKATAN HARAPAN (PH),43252,1,won,0,PH,Matched (3)
P.161,JOHOR,P.161,Pulai,165313,44.61,40.12,12.22,.53,.64,.19,1.7,99.3,.02,.68,0,6.89,21.11,20.66,19.32,14.7,10.32,5.01,1.5,.49,50.31,49.69,Urban,P.161 Pulai,160,Johor,3,Salahuddin Bin Ayub,DATUK SERI SALAHUDDIN AYUB,61,male,bumiputera,PAKATAN HARAPAN (PH),64900,1,won,0,PH,Matched (3)
P.162,JOHOR,P.162,Iskandar Puteri,222437,36.27,47.22,14.1,.37,.86,.21,.97,99.58,.01,.41,0,7.48,23.76,21.23,18.09,15.08,9.58,3.72,.89,.17,50.07,49.93,Urban,P.162 Iskandar Puteri,161,Johor,3,Liew Chin Tong,LIEW CHIN TONG,45,male,chinese,PAKATAN HARAPAN (PH),96819,1,won,0,PH,Matched (3)
P.163,JOHOR,P.163,Kulai,151247,36.96,49.21,11.58,.5,.53,.02,1.21,99.51000000000001,.01,.45,.03,7.67,23.41,19.62,17.71,15.19,9.6,4.8,1.7,.29,50.3,49.7,Urban,P.163 Kulai,162,Johor,2,Teo Nie Ching,TEO NIE CHING,41,female,chinese,PAKATAN HARAPAN (PH),65529,1,won,0,PH,Matched (3)
P.164,JOHOR,P.164,Pontian,75212,68.25,28.03,1.06,.1,.11,.61,1.84,99.89,.01,.11,0,5.65,20.19,22.07,16.49,14.78,11.24,6.52,2.49,.57,49.68,50.32,Rural,P.164 Pontian,163,Johor,2,Ahmad Bin Maslan,DATUK SERI AHMAD MASLAN,56,male,bumiputera,BARISAN NASIONAL (BN),23201,1,won,0,BN,Matched (3)
P.165,JOHOR,P.165,Tanjung Piai,70679,57.02,40.05,1.02,.18,.16,.04,1.54,99.56,.01,.43,0,5.84,20.39,20.86,17.21,15.29,11.39,6.22,2.27,.54,50.74,49.26,Semi Urban,P.165 Tanjung Piai,164,Johor,2,Wee Jeck Seng,WEE JECK SENG,58,male,chinese,BARISAN NASIONAL (BN),23593,1,won,0,BN,Matched (3)
P.166,WILAYAH PERSEKUTUAN LABUAN,P.166,Labuan,44484,32.73,17.01,1.22,41.99,2.24,0,4.8,96.73999999999999,.01,.84,2.4,7.25,23.56,24.47,15.64,13.04,10.45,3.94,1.19,.46,52.29,47.71,Semi Urban,P.166 Labuan,165,W.P. Labuan,2,Suhaili Bin Abdul Rahman,DATO' DR. SUHAILI ABDUL RAHMAN,61,male,bumiputera,PERIKATAN NASIONAL (PN),8124,1,won,1,PN,Matched (3)
P.167,SABAH,P.167,Kudat,75724,4.17,7.06,.12,71.72,.32,.01,16.59,99.31999999999999,0,.68,0,7.96,23.27,23.49,16.62,11.81,8.42,4.19,2.37,1.86,50.54,49.46,Rural,P.167 Kudat,166,Sabah,4,Verdon Bin Bahanda,VERDON BIN BAHANDA,49,male,bumiputera,BEBAS (BEBAS),16323,1,won,1,Others,Matched (3)
P.168,SABAH,P.168,Kota Marudu,80735,2.66,2.01,.08,92.41,.31,0,2.53,99.78,0,.22,0,8.18,25.52,25.44,15.9,10.82,7.21,3.77,1.94,1.21,50.66,49.34,Rural,P.168 Kota Marudu,167,Sabah,6,Wetrom Bin Bahanda, DATUK WETROM BAHANDA,52,male,bumiputera,PARTI KESEJAHTERAAN DEMOKRATIK MASYARAKAT (KDM),24318,1,won,1,Others,Matched (3)
P.169,SABAH,P.169,Kota Belud,79885,2.92,1.12,.2,92.3,.31,0,3.15,99.39,0,.21,.4,7.13,22.23,23.88,17.05,13.48,9.25,3.86,2.07,1.04,48.94,51.06,Rural,P.169 Kota Belud,168,Sabah,3,Isnaraissah Munirah Bt Majilis@Fakharudy,MUNIRAH MAJILIS,40,female,bumiputera,PARTI WARISAN SABAH (WARISAN),25148,1,won,0,Others,Matched (3)
P.170,SABAH,P.170,Tuaran,83419,4.76,4.24,.23,87.17,.48,.01,3.11,99.77,0,.23,0,7.75,22.31,23.93,16.88,13.83,9.08,3.59,1.65,.98,49.79,50.21,Semi Urban,P.170 Tuaran,169,Sabah,1,Madius Bin Tangau,MADIUS TANGAU,64,male,bumiputera,PAKATAN HARAPAN (PH),24943,1,won,0,PH,Matched (3)
P.171,SABAH,P.171,Sepanggar,108370,12.97,17.07,.54,61.13,.73,.01,7.55,97.98,.01,.01,2.01,8.83,27.26,25.28,15.57,11.23,7.8,2.54,.93,.57,51,49,Urban,P.171 Sepanggar,170,Sabah,4,Mustapha @ Mohd Yunus Bin Sakmud,MUSTAPHA SAKMUD,53,male,bumiputera,PAKATAN HARAPAN (PH),27022,1,won,1,PH,Matched (3)
P.172,SABAH,P.172,Kota Kinabalu,74059,4.21,59.9,.98,29.48,.36,0,5.06,99.52,.02,.22,.25,3.32,14.06,19.12,18.19,16.55,16.09,8.69,2.85,1.12,49.03,50.97,Urban,P.172 Kota Kinabalu,171,Sabah,4,Chan Foong Hin,CHAN FOONG HIN,43,male,chinese,PAKATAN HARAPAN (PH),31359,1,won,0,PH,Matched (3)
P.173,SABAH,P.173,Putatan,63173,18.66,11.76,.74,59.48,1,.02,8.34,95.23,.01,.05,4.72,6.73,23.58,24.04,16.44,12.81,10.12,4.19,1.26,.84,51.72,48.28,Urban,P.173 Putatan,172,Sabah,2,Shahelmey Bin Yahya,SHAHELMEY BIN YAHYA,49,male,bumiputera,BARISAN NASIONAL (BN),16234,1,won,1,BN,Matched (3)
P.174,SABAH,P.174,Penampang,77214,4.72,26.71,.68,64.06,.97,0,2.86,96.61,.01,3.35,.03,6.88,22.07,23.85,18.88,13.27,9.210000000000001,3.97,1.33,.55,50.85,49.15,Urban,P.174 Penampang,173,Sabah,1,Ewon Benedick,EWON BENEDICK,39,male,bumiputera,PAKATAN HARAPAN (PH),29066,1,won,1,PH,Matched (3)
P.175,SABAH,P.175,Papar,59942,8.92,6.29,.3,79.45999999999999,.67,.01,4.37,98.62,.01,1.38,0,7.61,22.15,21.75,18.05,14.66,9.890000000000001,4.03,1.28,.58,49.93,50.07,Semi Urban,P.175 Papar,174,Sabah,6,Armizan Bin Mohd Ali,DATUK ARMIZAN BIN MOHD ALI,46,male,bumiputera,PARTI GABUNGAN RAKYAT SABAH (GRS),22620,1,won,1,Others,Matched (3)
P.176,SABAH,P.176,Kimanis,40763,9.220000000000001,2.93,.18,84.48,.59,0,2.6,99.95,0,.05,0,6.35,20.12,23.41,18.79,15.28,9.75,3.87,1.44,.99,50.32,49.68,Rural,P.176 Kimanis,175,Sabah,1,Mohamad Bin Alamin,MOHAMAD BIN ALAMIN,50,male,bumiputera,BARISAN NASIONAL (BN),13004,1,won,1,BN,Matched (3)
P.177,SABAH,P.177,Beaufort,43248,7.21,5.44,.32,84.19,.72,.01,2.11,99.51000000000001,0,.48,0,5.51,18.63,21.27,18.77,17.18,11.79,4.61,1.66,.58,50.33,49.67,Rural,P.177 Beaufort,176,Sabah,5,Siti Aminah Binti Aching,DATUK SITI AMINAH BINTI ACHING,60,female,bumiputera,BARISAN NASIONAL (BN),10570,1,won,1,BN,Matched (3)
P.178,SABAH,P.178,Sipitang,45871,8.07,3.38,.17,84.5,1.9,0,1.97,99.68000000000001,0,.32,0,6.73,22.33,23.31,17.09,14.49,10.21,3.62,1.53,.6899999999999999,50.81,49.19,Rural,P.178 Sipitang,177,Sabah,1,Matbali Bin Musah,DATUK MATBALI BIN MUSAH,53,male,bumiputera,PARTI GABUNGAN RAKYAT SABAH (GRS),14459,1,won,1,Others,Matched (3)
P.179,SABAH,P.179,Ranau,66517,2.2,1.32,.08,94.3,.43,.01,1.65,99.72,0,.28,0,7.66,24.26,25.08,16.71,12.01,8.199999999999999,3.35,1.67,1.06,50.28,49.72,Rural,P.179 Ranau,178,Sabah,2,Jonathan Bin Yasin,JONATHAN YASIN,55,male,bumiputera,PARTI GABUNGAN RAKYAT SABAH (GRS),22606,1,won,0,Others,Matched (3)
P.180,SABAH,P.180,Keningau,87588,5.36,7.08,.16,84.31,.73,.01,2.35,99.69,0,.31,0,7.87,26.5,24.82,15.81,12.44,8,2.83,1.13,.6,50.39,49.61,Rural,P.180 Keningau,179,Sabah,3,Gapari Bin Katingan @ Geoffrey Kitingan,DATUK SERI PANGLIMA DR.JEFFREY G.KITINGAN,75,male,bumiputera,PARTI GABUNGAN RAKYAT SABAH (GRS),23155,1,won,0,Others,Matched (3)
P.181,SABAH,P.181,Tenom,42045,6.09,8.5,.08,82.37,.55,0,2.4,99.66,0,.33,0,7.64,22.33,23.74,16.85,13.88,9.220000000000001,3.36,1.68,1.31,49.95,50.05,Rural,P.181 Tenom,180,Sabah,3,Riduan Bin Rubin,RIDUAN BIN RUBIN,35,male,bumiputera,BEBAS (BEBAS),10027,1,won,1,Others,Matched (3)
P.182,SABAH,P.182,Pensiangan,55672,1.51,.9399999999999999,.05,95.68000000000001,.35,.01,1.46,99.98,0,.02,0,9.59,28.21,24.88,14.54,10.78,6.36,2.45,1.67,1.52,50.11,49.89,Rural,P.182 Pensiangan,181,Sabah,5,Arthur Joseph Kurup,DATUK ARTHUR JOSEPH KURUP,40,male,bumiputera,BARISAN NASIONAL (BN),19623,1,won,0,BN,Matched (3)
P.183,SABAH,P.183,Beluran,44727,5.47,.86,.11,87.38,1.64,0,4.53,99.59999999999999,0,.4,0,8.210000000000001,26.22,24.04,15.97,12.02,7.6,3.5,1.62,.82,50.99,49.01,Rural,P.183 Beluran,182,Sabah,4,Ronald Kiandee,RONALD KIANDEE,61,male,bumiputera,PERIKATAN NASIONAL (PN),11303,1,won,0,PN,Matched (3)
P.184,SABAH,P.184,Libaran,72332,28.03,15.12,.31,46.51,1.05,0,8.970000000000001,97.31999999999999,0,1.89,.78,8.16,26.58,23.78,16.72,11.61,8.119999999999999,3.24,1.17,.62,51.43,48.57,Semi Urban,P.184 Libaran,183,Sabah,6,Suhaimi Bin Nasir,SUHAIMI BIN NASIR,54,male,bumiputera,BARISAN NASIONAL (BN),22969,1,won,1,BN,Matched (3)
P.185,SABAH,P.185,Batu Sapi,43916,14.83,26.98,.31,50.47,.87,.02,6.51,98.23999999999999,0,.65,1.11,7,24.05,22.23,15.32,13.32,10.09,4.57,2.03,1.4,51.63,48.37,Urban,P.185 Batu Sapi,184,Sabah,5,Khairul Firdaus Bin Akbar Khan,KHAIRUL FIRDAUS AKBAR KHAN,39,male,bumiputera,PARTI GABUNGAN RAKYAT SABAH (GRS),12152,1,won,1,Others,Matched (3)
P.186,SABAH,P.186,Sandakan,55542,14.39,42.37,.64,35.66,.79,.01,6.13,99.31999999999999,.01,.67,0,6.58,22.33,20.55,15.72,13.41,12.12,5.6,2.43,1.25,50.33,49.67,Urban,P.186 Sandakan,185,Sabah,4,Vivian Wong Shir Yee,VIVIAN WONG SHIR YEE,33,female,chinese,PAKATAN HARAPAN (PH),16673,1,won,1,PH,Matched (3)
P.187,SABAH,P.187,Kinabatangan,44773,14.61,.68,.14,78.92,1.38,0,4.27,99.52,0,.48,0,8.380000000000001,26.04,23.62,15.95,12.16,8.1,3.16,1.47,1.12,51.73,48.27,Rural,P.187 Kinabatangan,186,Sabah,2,Moktar Bin Radin,BUNG MOKTAR BIN RADIN,63,male,bumiputera,BARISAN NASIONAL (BN),16842,1,won,0,BN,Matched (3)
P.188,SABAH,P.188,Lahad Datu,100256,26.42,9.140000000000001,.42,56.03,1.18,.01,6.8,98.23,0,1.36,.41,8.81,27.73,24.81,14.75,11.32,8.08,2.77,1,.74,51.91,48.09,Semi Urban,P.188 Lahad Datu,187,Sabah,2,Mohammad Yusof Bin Bin Apdal,DATO' HJ MOHAMMAD YUSOF BIN APDAL,62,male,bumiputera,PARTI WARISAN SABAH (WARISAN),27116,1,won,1,Others,Matched (3)
P.189,SABAH,P.189,Semporna,72169,6.6,1.52,.14,87.61,.33,.01,3.79,98.7,0,.9399999999999999,.36,9.1,26.01,22.58,16.69,12.24,7.9,2.59,1.58,1.32,49.77,50.23,Rural,P.189 Semporna,188,Sabah,2,Mohd Shafie Bin Apdal,MOHD SHAFIE APDAL,65,male,bumiputera,PARTI WARISAN SABAH (WARISAN),28702,1,won,0,Others,Matched (3)
P.190,SABAH,P.190,Tawau,87477,33.96,29.52,.38,28.55,1.2,0,6.38,98.65000000000001,.01,.8100000000000001,.53,7.01,23.09,21.67,16.42,13.64,11.1,4.6,1.61,.86,51.34,48.66,Urban,P.190 Tawau,189,Sabah,6,Lo Su Fui,LO SU FUI,41,male,chinese,PARTI GABUNGAN RAKYAT SABAH (GRS),19865,1,won,1,Others,Matched (3)
P.191,SABAH,P.191,Kalabakan,83970,49.17,8.369999999999999,.36,32.93,2.21,.01,6.93,96.73,.01,.6,2.67,7.69,27.03,26.27,15.51,10.58,8.529999999999999,2.81,.99,.6,51.87,48.13,Urban,P.191 Kalabakan,190,Sabah,2,Andi Muhammad Suryady Bin Bandy,ANDI MUHAMMAD SURYADY BIN BANDY,41,male,bumiputera,BARISAN NASIONAL (BN),23855,1,won,1,BN,Matched (3)
P.192,SARAWAK,P.192,Mas Gading,47171,5.14,17.08,.18,.42,76.84,.01,.32,98.62,0,.32,1.06,6.47,21.45,19.52,16.99,16.74,11.32,5.39,1.7,.41,51.27,48.73,Rural,P.192 Mas Gading,191,Sarawak,3,Mordi Anak Bimol,MORDI ANAK BIMOL,37,male,bumiputera,PARTI TINDAKAN DEMOKRATIK (DAP),17274,1,won,0,Others,Matched (3)
