,state,parlimen,ballot_order,name,name_display,age,sex,ethnicity,party,votes,result,result_desc,new_mp,top_party,ethnicity_proportion_bumi,ethnicity_proportion_chinese,ethnicity_proportion_indian,ethnicity_proportion_other
52,Pulau Pinang,P.053 Balik Pulau,2,Muhammad Bakhtiar Bin Wan Chik,MUHAMMAD BAKHTIAR BIN WAN CHIK,57,male,bumiputera,PAKATAN HARAPAN (PH),24564,1,won,0,PH,63.69558482,31.63516654,4.260263362,0.408985283
53,Perak,P.054 Gerik,2,Fathul Huzir Bin Ayob,FATHUL HUZIR AYOB,39,male,bumiputera,PERIKATAN NASIONAL (PN),15105,1,won,1,PN,86.76749265,8.173762385,2.414770164,2.643974806
54,Perak,P.055 Lenggong,1,Shamsul Anuar Bin Nasarah,DR SHAMSUL ANUAR NASARAH,55,male,bumiputera,BARISAN NASIONAL (BN),12588,1,won,0,BN,91.88599519,6.683421249,1.107459471,0.323124085
55,Perak,P.056 Larut,4,Hamzah Bin Zainudin,DATO SERI HAMZAH ZAINUDIN,65,male,bumiputera,PERIKATAN NASIONAL (PN),28350,1,won,0,PN,92.7792491,2.511294594,4.475775043,0.233681259
56,Perak,P.057 Parit Buntar,4,Mohd Misbahul Munir Bin Masduki,USTAZ MISBAH,59,male,bumiputera,PERIKATAN NASIONAL (PN),23223,1,won,1,PN,71.97419648,22.42462133,4.872261218,0.72892097
57,Perak,P.058 Bagan Serai,1,Idris Bin Ahmad,DATUK USTAZ IDRIS,59,male,bumiputera,PERIKATAN NASIONAL (PN),33753,1,won,0,PN,81.70808657,10.56069076,7.546355233,0.184867438
58,Perak,P.059 Bukit Gantang,1,Syed Abu Hussin Bin Hafiz Syed Abdul Fasal,DATO' SYED ABU HUSSIN,62,male,bumiputera,PERIKATAN NASIONAL (PN),32625,1,won,0,PN,76.13297774,15.29849653,8.360442738,0.208082999
59,Perak,P.060 Taiping,3,Wong Kah Woh,WONG KAH WOH,42,male,chinese,PAKATAN HARAPAN (PH),47098,1,won,0,PH,50.40495966,36.71183881,12.42379684,0.459404681
60,Perak,P.061 Padang Rengas,1,Azahari Bin Hasan,KAPTEN AZAHARI,48,male,bumiputera,PERIKATAN NASIONAL (PN),12931,1,won,1,PN,82.57628387,11.9408967,5.242344894,0.240474536
61,Perak,P.062 Sungai Siput,4,Kesavan A/L Subramaniam,S. KESAVAN,50,male,indian,PAKATAN HARAPAN (PH),21637,1,won,0,PH,50.170441,27.18235995,22.45172825,0.195470799
62,Perak,P.063 Tambun,1,Anwar Bin Ibrahim,ANWAR IBRAHIM,75,male,bumiputera,PAKATAN HARAPAN (PH),49625,1,won,0,PH,71.17297759,18.14658153,10.31114003,0.36930085
63,Perak,P.064 Ipoh Timor,3,Lee Chuan How,HOWARD LEE CHUAN HOW,39,male,chinese,PAKATAN HARAPAN (PH),57549,1,won,1,PH,37.38959453,54.20928278,7.925407925,0.475714761
64,Perak,P.065 Ipoh Barat,2,M.Kulasegaran A/L V.Murugeson,M. KULA,65,male,indian,PAKATAN HARAPAN (PH),63915,1,won,0,PH,25.78442172,47.77261998,25.95751377,0.485444532
65,Perak,P.066 Batu Gajah,2,Sivakumar A/L Varatharaju Naidu,V. SIVAKUMAR,51,male,indian,PAKATAN HARAPAN (PH),60999,1,won,0,PH,25.24920294,54.67725795,19.58017547,0.493363638
66,Perak,P.067 Kuala Kangsar,1,Iskandar Dzulkarnain Bin Abdul Khalid,ISKANDAR DZULKARNAIN,46,male,bumiputera,PERIKATAN NASIONAL (PN),14380,1,won,1,PN,82.16456196,13.1531176,4.31531176,0.367008682
67,Perak,P.068 Beruas,1,Ngeh Koo Ham,DATO' NGEH KOO HAM,61,male,chinese,PAKATAN HARAPAN (PH),46710,1,won,0,PH,33.13218339,49.03322122,17.37953487,0.455060525
68,Perak,P.069 Parit,1,Muhammad Ismi Bin Mat Taib,USTAZ ISMI,48,male,bumiputera,PERIKATAN NASIONAL (PN),17181,1,won,1,PN,95.8972262,1.480610645,2.388741225,0.233421931
69,Perak,P.070 Kampar,3,Chong Zhemin,CHONG ZHEMIN,37,male,chinese,PAKATAN HARAPAN (PH),30467,1,won,1,PH,44.61742398,45.44466925,9.612988747,0.324918023
70,Perak,P.071 Gopeng,3,Tan Kar Hing,TAN KAR HING,40,male,chinese,PAKATAN HARAPAN (PH),55880,1,won,1,PH,52.70700014,38.56533396,8.321102174,0.406563729
71,Perak,P.072 Tapah,4,Saravanan A/L Murugan,DATUK SERI M. SARAVANAN,54,male,indian,BARISAN NASIONAL (BN),18398,1,won,0,BN,71.64035654,15.05667979,12.49325241,0.809711269
72,Perak,P.073 Pasir Salak,3,Jamaludin Bin Yahya,USTAZ JAMALUDIN BIN YAHYA,51,male,bumiputera,PERIKATAN NASIONAL (PN),24897,1,won,1,PN,86.75206853,10.10987842,2.808151755,0.329901296
73,Perak,P.074 Lumut,3,Nordin Bin Ahmad Ismail,KOMANDER (B) NORDIN,57,male,bumiputera,PERIKATAN NASIONAL (PN),25212,1,won,1,PN,81.61438468,9.390000259,8.724907674,0.270707385
74,Perak,P.075 Bagan Datuk,4,Ahmad Zahid Bin Hamidi,ZAHID HAMIDI,69,male,bumiputera,BARISAN NASIONAL (BN),16578,1,won,0,BN,55.14319533,20.66949593,23.92170449,0.26560425
75,Perak,P.076 Teluk Intan,1,Nga Kor Ming,NGA KOR MING,50,male,chinese,PAKATAN HARAPAN (PH),33133,1,won,0,PH,49.91991632,32.64908094,16.87967836,0.551324377
