,state,parlimen,ballot_order,name,name_display,age,sex,ethnicity,party,votes,result,result_desc,new_mp,top_party,total_seat_votes,Percentage of votes garnered,Percentage of bumiputera residents,labour_unemployment_rate,poverty_incidence,Result
230,Pulau Pinang,P.053 Balik Pulau,2,Muhammad Bakhtiar Bin Wan Chik,MUHAMMAD BAKHTIAR BIN WAN CHIK,57,male,bumiputera,PAKATAN HARAPAN (PH),24564,1,won,0,PH,63911,38.43469825,63.69558482,2.8,0.7,Won
237,Perak,P.054 Gerik,3,Ahmad Tarmizi Bin Mohd Jam,TARMIZI MOHD JAM,53,male,bumiputera,PAKATAN HARAPAN (PH),5779,0,lost,0,PH,34612,16.69652144,86.76749265,4.2,8.9,Lost
239,Perak,P.055 Lenggong,2,Jurey Latiff Bin Mohd Rosli,JUREY LATIFF ROSLI,56,male,bumiputera,PAKATAN HARAPAN (PH),3382,0,lost_deposit,0,PH,27679,12.21864952,91.88599519,3.8,17.5,Lost
242,Perak,P.056 Larut,2,Zolkharnain Bin Abidin,USTAZ ZOLKHARNAIN BIN ABIDIN,55,male,bumiputera,PAKATAN HARAPAN (PH),6207,0,lost_deposit,0,PH,51875,11.9653012,92.7792491,5.8,7.4,Lost
245,Perak,P.057 Parit Buntar,1,Mujahid Bin Yusof,DATUK SERI DR MUJAHID YUSOF RAWA,58,male,bumiputera,PAKATAN HARAPAN (PH),17828,0,lost,0,PH,52903,33.69941213,71.97419648,5.6,8,Lost
252,Perak,P.058 Bagan Serai,4,Siti Aishah Binti Shaik Ismail,SITI AISHAH BINTI SHAIK ISMAIL,37,female,bumiputera,PAKATAN HARAPAN (PH),13195,0,lost,0,PH,62533,21.10085875,81.70808657,4.5,4.3,Lost
255,Perak,P.059 Bukit Gantang,3,Fakhruldin Bin Mohd Hashim,DR FAKHRULDIN MOHD HASHIM,58,male,bumiputera,PAKATAN HARAPAN (PH),18565,0,lost,0,PH,71567,25.94072687,76.13297774,6,12.9,Lost
259,Perak,P.060 Taiping,3,Wong Kah Woh,WONG KAH WOH,42,male,chinese,PAKATAN HARAPAN (PH),47098,1,won,0,PH,84769,55.56040534,50.40495966,4.7,4.9,Won
265,Perak,P.061 Padang Rengas,3,Muhammad Kamil Bin Abdul Munim,KAMIL MUNIM,32,male,bumiputera,PAKATAN HARAPAN (PH),7062,0,lost,0,PH,29878,23.63612022,82.57628387,5.1,5.9,Lost
269,Perak,P.062 Sungai Siput,4,Kesavan A/L Subramaniam,S. KESAVAN,50,male,indian,PAKATAN HARAPAN (PH),21637,1,won,0,PH,51649,41.89238901,50.170441,5.5,16.7,Won
273,Perak,P.063 Tambun,1,Anwar Bin Ibrahim,ANWAR IBRAHIM,75,male,bumiputera,PAKATAN HARAPAN (PH),49625,1,won,0,PH,124769,39.77350143,71.17297759,3.8,5.6,Won
279,Perak,P.064 Ipoh Timor,3,Lee Chuan How,HOWARD LEE CHUAN HOW,39,male,chinese,PAKATAN HARAPAN (PH),57549,1,won,1,PH,79780,72.13462021,37.38959453,4.8,1.9,Won
281,Perak,P.065 Ipoh Barat,2,M.Kulasegaran A/L V.Murugeson,M. KULA,65,male,indian,PAKATAN HARAPAN (PH),63915,1,won,0,PH,78356,81.57001378,25.78442172,4.3,5.6,Won
285,Perak,P.066 Batu Gajah,2,Sivakumar A/L Varatharaju Naidu,V. SIVAKUMAR,51,male,indian,PAKATAN HARAPAN (PH),60999,1,won,0,PH,74955,81.3808285,25.24920294,5.4,7.3,Won
